Track name: p232_001	PESQ: 2.926636	CSIG: 4.284055	CBAK: 3.262715	COVL: 3.584717	SSNR: 7.161749	STOI: 0.896450	
Track name: p232_002	PESQ: 3.059656	CSIG: 4.664323	CBAK: 3.383716	COVL: 3.878905	SSNR: 6.407383	STOI: 0.969554	
Track name: p232_003	PESQ: 2.811937	CSIG: 4.324330	CBAK: 2.943643	COVL: 3.567698	SSNR: 2.048277	STOI: 0.970870	
Track name: p232_005	PESQ: 1.331947	CSIG: 2.566457	CBAK: 1.971026	COVL: 1.896903	SSNR: -0.011480	STOI: 0.881974	
Track name: p232_006	PESQ: 2.205719	CSIG: 3.589885	CBAK: 3.204783	COVL: 2.899477	SSNR: 10.645959	STOI: 0.965083	
Track name: p232_007	PESQ: 1.557358	CSIG: 2.948431	CBAK: 2.556329	COVL: 2.235145	SSNR: 6.054995	STOI: 0.936719	
Track name: p232_009	PESQ: 1.808760	CSIG: 3.220892	CBAK: 2.518322	COVL: 2.499993	SSNR: 3.441571	STOI: 0.960900	
Track name: p232_010	PESQ: 1.210661	CSIG: 1.689005	CBAK: 1.561416	COVL: 1.367861	SSNR: -4.218254	STOI: 0.780783	
Track name: p232_011	PESQ: 2.732775	CSIG: 4.106340	CBAK: 3.426870	COVL: 3.430918	SSNR: 9.805508	STOI: 0.965325	
Track name: p232_012	PESQ: 2.039989	CSIG: 3.495886	CBAK: 2.861427	COVL: 2.778434	SSNR: 6.038413	STOI: 0.965390	
Track name: p232_013	PESQ: 1.416309	CSIG: 2.783667	CBAK: 2.108070	COVL: 2.059832	SSNR: 0.983922	STOI: 0.944278	
Track name: p232_014	PESQ: 1.271430	CSIG: 2.223359	CBAK: 1.900191	COVL: 1.705329	SSNR: -1.104092	STOI: 0.910680	
Track name: p232_015	PESQ: 3.633945	CSIG: 5.000000	CBAK: 4.099742	COVL: 4.402745	SSNR: 12.312899	STOI: 0.994641	
Track name: p232_016	PESQ: 3.367255	CSIG: 4.806199	CBAK: 3.681251	COVL: 4.124116	SSNR: 7.946387	STOI: 0.990344	
Track name: p232_017	PESQ: 2.775472	CSIG: 4.202653	CBAK: 2.917513	COVL: 3.499551	SSNR: 1.433948	STOI: 0.990462	
Track name: p232_019	PESQ: 2.199442	CSIG: 3.549713	CBAK: 2.472637	COVL: 2.861788	SSNR: -0.287585	STOI: 0.979510	
Track name: p232_020	PESQ: 2.894618	CSIG: 4.371929	CBAK: 3.431924	COVL: 3.644798	SSNR: 8.657474	STOI: 0.961582	
Track name: p232_021	PESQ: 2.594881	CSIG: 4.243227	CBAK: 3.278276	COVL: 3.432557	SSNR: 8.353882	STOI: 0.976333	
Track name: p232_022	PESQ: 1.647046	CSIG: 3.130934	CBAK: 2.458441	COVL: 2.378204	SSNR: 3.514012	STOI: 0.969924	
Track name: p232_023	PESQ: 1.309222	CSIG: 2.612065	CBAK: 1.897820	COVL: 1.914560	SSNR: -1.284757	STOI: 0.937367	
Track name: p232_024	PESQ: 3.805193	CSIG: 5.000000	CBAK: 4.201778	COVL: 4.564029	SSNR: 12.622838	STOI: 0.997361	
Track name: p232_025	PESQ: 2.922575	CSIG: 4.297553	CBAK: 2.968114	COVL: 3.596395	SSNR: 2.207399	STOI: 0.982777	
Track name: p232_027	PESQ: 2.908016	CSIG: 4.312429	CBAK: 3.067506	COVL: 3.622555	SSNR: 2.745115	STOI: 0.988939	
Track name: p232_028	PESQ: 1.450556	CSIG: 2.686906	CBAK: 1.629161	COVL: 1.978561	SSNR: -4.656219	STOI: 0.804724	
Track name: p232_029	PESQ: 1.772096	CSIG: 3.114051	CBAK: 2.676877	COVL: 2.416607	SSNR: 6.752484	STOI: 0.973506	
Track name: p232_030	PESQ: 1.969219	CSIG: 3.621424	CBAK: 2.828919	COVL: 2.789619	SSNR: 6.744208	STOI: 0.990136	
Track name: p232_031	PESQ: 1.552547	CSIG: 2.755213	CBAK: 2.020151	COVL: 2.106334	SSNR: -1.086864	STOI: 0.795522	
Track name: p232_032	PESQ: 1.113082	CSIG: 1.868277	CBAK: 1.721924	COVL: 1.428471	SSNR: -1.841401	STOI: 0.770541	
Track name: p232_033	PESQ: 2.468211	CSIG: 3.500282	CBAK: 2.743580	COVL: 2.943310	SSNR: 3.278063	STOI: 0.846580	
Track name: p232_034	PESQ: 1.438741	CSIG: 2.817665	CBAK: 2.164644	COVL: 2.091794	SSNR: 1.547918	STOI: 0.863102	
Track name: p232_035	PESQ: 1.542063	CSIG: 2.820523	CBAK: 2.259830	COVL: 2.152850	SSNR: 1.946206	STOI: 0.969937	
Track name: p232_036	PESQ: 1.152104	CSIG: 2.116039	CBAK: 1.679079	COVL: 1.568764	SSNR: -2.699016	STOI: 0.813715	
Track name: p232_037	PESQ: 3.656777	CSIG: 5.000000	CBAK: 4.010213	COVL: 4.404808	SSNR: 10.860023	STOI: 0.999065	
Track name: p232_038	PESQ: 2.841701	CSIG: 4.277653	CBAK: 3.044225	COVL: 3.564429	SSNR: 3.201986	STOI: 0.947570	
Track name: p232_039	PESQ: 2.138747	CSIG: 3.407915	CBAK: 2.195531	COVL: 2.745904	SSNR: -3.578749	STOI: 0.769571	
Track name: p232_040	PESQ: 2.494029	CSIG: 3.815370	CBAK: 2.404938	COVL: 3.120639	SSNR: -2.624113	STOI: 0.990919	
Track name: p232_041	PESQ: 2.263376	CSIG: 3.581756	CBAK: 2.819215	COVL: 2.888182	SSNR: 5.690582	STOI: 0.903600	
